product,retail price,standard cost,category
Alpine,23.95,10.09,Beginner
Aspen,23.95,9.48,Beginner
Bellen,26.99,10.75,Beginner
Bower Aussie Round,45,18.45,Competition
Carlota,21.95,8.48,Beginner
Carlota Doublers,71,30.25,Freestyle
Crested Beaut,19.95,8.5,Intermediate
Darnell Tri Fly,11.95,5.25,Beginner
Eagle,23.95,8.97,Intermediate
Fire Aspen,23.5,9.55,Advanced
Frido Fast Catch,41.95,21.45,Competition
Fun Fly,6.99,3.25,Beginner
GelFast,26,11.04,Competition
Majestic Beaut,28.95,11.49,Intermediate
Manu LD,252,100.25,Advanced
Manu MTA,122,49.78,Competition
Phoenix,25.95,10.85,Intermediate
Quad,41.95,16,Freestyle
Sunset,25.5,10.51,Competition
Sunshine,21.95,8.65,Beginner
Sunspot,14.5,6,Novelty
Yanaki,25.99,10.02,Intermediate
